,Tweet,HS_Religion
803,bahasa arab tuhan maha esa pancasila bahasa indonesia,1
833,buang islam sakit laku manusia,1
850,ridwan kamil hebat top kayak ahok tukang nista agama koruptor,1
852,muslim allah subhanahu wa taala muhammad bejat nabi,1
880,hapus teroris islam efektif alquran kitab teroris,1
888,iman allah subhanahu wa taala dungu biadab dungu biadab bangsa,1
903,haha cebong kafir alay goblok munafik jijik banget ih,1
922,goblok nonton acara nya malam beliau islam fiksi bukti video nya islam kafir islam banget fitnah muslim kafir gue heran,1
948,bilang kafir susah haha sel sel otak sambung ya susah kafir cebong orang bicara bicara maki agama islam pakai rujuk internasional haha,1
956,munir kait rezim jokowi anti islam twitkan moga,1
977,demo jilid jilid nyata kitab suci fiksi tuju utama gera bela islam jilid jilid versi 212 motif politik jatuh ahok ahok korban,1
978,paksa orang penjara bajing kedok agama,1
991,tuju usir buddha indonesia,1
992,hina islam muhammad budi hadap suku ajar salat pahala allah subhanahu wa taala,1
995,cepat islam nyata sesat sesat bank syariat,1
1010,kaum 1 2 kafir otak junk food nya kelit catut islam giat giat rusak aqidah islam,1
1013,alaaaahhhhh omong cebong arah pakai tol kelok 1000 sok sok islam bong,1
1014,dungu biadab bangsa ajak sembah sembah allah subhanahu wa taala dungu biadab,1
1042,ayat kaji pengga kepala pancung ujung jari 8 12,1
1047,jend suha o 1965 nasib bangsa indonesia negara komunis ateis,1
1084,nabi adam fiksi nabi ibrahim fiksi nabi musa fiksi nabi nuh fiksi nabi fiksi ulama lihat dungu nuzul alquran logika,1
1085,teriak allah hu barbar rusak telinga fahri diskusi buang islam dewan wakil rakyat,1
1090,kafir samar makan babi mulut junjung tolak,1
1099,laku rezim jokowi baca rezim susilo bambang yudhoyono jilid 3 raih dukung republiken isu islam radikal terorisme islam ancam isis islam nusantara lgbt goreng republiken as presiden ri tang,1
1103,dalih 4 pilar majelis musyawarat rakyat dungu biadab bangsa dakwah islam seru sembah nyembah allah subhanahu wa taala benci kafir pecah bangsa,1
1125,usir buddha myanmar kacau sepe i myanmar,1
1130,rezim anti islam ya nge,1
1136,tentara saudi suriah isis banci lari libya uniform resource locator uniform resource locator,1
1143,buddha bantai muslim rohingya,1
1146,dusta pimpin agama kristen ya teh,1
1172,proses buang islam main paksa laku sadar,1
1176,haji tipu ibrahim kubur kabah biar rakyat tipu lukman,1
1188,tokoh agama politik praktis jabat jabat publik identitas agama lingkung agama buddha biksu makan daging iya minum minum keras iya keluarga,1
1232,moga allah menghancurleburkan kafir buddha teroris zalim kaum muslim rohingya,1
1300,agenda tema beda tuju turun nya alat politik kemas agama,1
1370,sih anu agama ragu sih kafir,1
1377,donatur 212 korban iya sih korban korban biadab tipu 86 720 orang umrah nc,1
1382,ajar muslim agama ajar bunuh paham islam agama ajar sesat sembah nyembah allah subhanahu wa taala biadab,1
1390,jokowi hormat hadap muslim zalim,1
1449,tunggu aksi bela kafir tanu,1
1455,sumbu pendek dukung nista agama islam al almaidah 51 mencak mencak dungu,1
1480,oi bos bilang sih orang hina agama sih berengsek salah tindak rupa ajar heran junjung,1
1491,nyata rezim anti islam bilang hoaks,1
1495,otak bani cebong 0 kosong orang napi nista agama selingkuh istri 7 amp mulut jamban puja puja bak dewa cebong koplo,1
1497,jaka abanjir pimpin akhlak nista agama uniform resource locator,1
1503,jokowi anti islam,1
1506,kelompok pelangi kristen radikal kaum sekuler komunis cibir habibie kelompok pelangi kumpul sih,1
1523,allah subhanahu wa taala sembah sembah muslim setan halal rampas ajar tunduk patuh obar cocok cocok penis,1
1524,kayak bersih suci tolol teriak muslim saudara muslim mu makan emis kopar kafirin orang benci go,1
1526,muslim rohingya hilang kaki akibat ranjau darat tanam teroris buddha,1
1591,anak sih napi cina kafir usir,1
1595,tangkap kalimat sok pintar kolam pakai ngata ngatai islam kasihan banget teman cebong islam mati mati bela cebong kafir tau agama islam hina hina cebong kafir nih haha nas,1
1608,haha idiot bilang orang orang kafir utama nasrani dukung dukung ahok kafir pasuk wilayah wilayah syariat islam,1
1639,hapus islam ajar sesat dungu biadab umat,1
1640,ustad mondok sih kerja mentwit bikin status nyinyir twitter kafir stad,1
1651,antek antek zionis komunis,1
1652,sesat lurus allah subhanahu wa taala ajar bangun keluarga cocok cocok penis,1
1654,suasana stq tingkat kabupaten ntt masjid mimbar dana swasembada umat islam bawa nama perintah daerah musabaqah tilawatil quran tingkat propinsi ntt sedih 2019 ganti presiden,1
1664,sepe i konter tindak brutal anjing anjing front bela islam lawan masyarakat kuncup sepe i bu,1
1674,top nya bela nista agama belaga bela agama wkwk mabuk,1
1711,serah gue gue maki cebong haha lucu banget cebong kafir nih sok iya data lihat pintar mata cebong cebong haha sadar ceplos maki agama i,1
1735,mohon bantu saudara saudara ahmadiyah depok masjid segel perintah daerah pilih presiden coblos jokowi,1
1741,burung dara terbang hulu burung nuri sayap biru suara pilih pilih presiden mancing ikan malam ikan makan campur ketan ayo menang ai islam hancur ai setan allahu akbar,1
1763,islam nusantara beda cebong nusantara,1
1786,ahok jamban bela aparat kristen a cina kafir berani menghi uniform resource locator,1
1797,jujur nabi muhammad catut nama tuhan legal jahat lukman,1
1831,ayo buang alquran kitab sampah,1
1865,sadar wanita indonesia muhammad bejat khadijah tinggal perempuan budak seks,1
1900,owo hidup nafsu presiden muncul isu partai komunis indonesia komunis anti islam antek cina puter puter situ,1
1913,allah subhanahu wa taala ajak gaul lukman suka dengar orang aji utama ayat penggal kafir cocok cocok penis,1
1917,anies rangkul surat pemberitahuan dangkal cekak intelektual budak ahok kafir,1
1926,kitab suci nya singgung kitab ayat suci definisi meng aktif imajinasi i don t care kitab suci ku beda a,1
1931,cocok cocok penis istri izin lukman,1
1940,kafir partai komunis indonesia samar islam jelek jokowi kafir partai komunis indonesia,1
1946,pikir tuju islam nusantara langsung nama islam kena kena imbas berengsek antek zionis selip organisasi masyarakat,1
1964,direktur jenderal agama agama banding posisi tuhan ajar agama,1
1967,cebong orang kafir kafir pimpin kafir teman kafir musuh tad,1
1971,hi hi hi kitab suci isi ayat fiksi alias khayal belaka bera i kitab suci risi hoaks sebar agama sebar hoaks orang imani kitab suci otak pantat kentut ateis gem,1
1973,salah muka jelek mulut selamat tinggal otak kotor dik e munafik dakwah laku bejat,1
1975,kritik kritik reaktif nama agama pilih diam nyata diam bukti sih bajak agama,1
1986,front usak islam demo anies rusak ketua cabul kabur tanggung kecut munafik hadap proses hukum,1
2038,beda muhammad arab buta huruf nabi percaya sempurna tebar biadab bunuh cocok cocok penis,1
2044,berani bilang setia negara republik indonesia jilbab budaya arab muhammad salat bahas arab kiblat arab,1
2065,rezim lihat anti islam,1
2071,sekte kampret kecoa jamban 212 geng daster jokowi 2 periode pikir gue tilap duit negara andal umat,1
2074,horor teroris islam brussel gambar allah subhanahu wa taala lukman,1
2078,al alquran ya bang mulut kayak orang kafir bejat hina,1
2097,ahok bebas korban sasar lengser jokowi tuju tawar syariat momentum fatwa majelis ulama indonesia demo 411 212 313 radikal,1
2118,adab tuju adab buang islam buang islam biadab rang,1
2132,syiah kafir,1
2135,pikir onta kesana bro eh nyata pakai kafir bacot semba,1
2140,tuju kriminalisasi ulama ulama 2019 ganti presiden 2019 presiden,1
2156,perilaku sih babi benci bau islam cocok ahok,1
2161,promo tendensius bau islam hukum berat belah sadar merek rezim anti islam,1
2162,muhammad nabi gadungan biar rakyat info,1
2172,partai komunis indonesia ya angkat darat gerak massa anti jokowi isu isu anti agama komunis,1
2177,tuju musuh teroris buddha myanmar biksu amp militer nya borobudur waris leluhur uniform resource locator,1
2193,ahok sih hina al qur an ulama sikap jijik sok suci hypertext transfer protocol over secure socket layer t co btkcetnk0g,1
2212,partai komunis indonesia biadab agama candu masyarakat agama lawan feodalisme amp kapitalisme agama hai bajing rendah anggap orang agama ala,1
2255,komunis laku isu jual antek orde dukung terap negara islam khilafah,1
2266,tipikal bani 212 bin onta kampret cepat puji orang hormat cepat caci nya salam tuan guru bajang haha bubar partai adil sejahtera,1
2335,babi haram babu halal ulah muhammad bejat catut nama tuhan,1
2353,1 oktober sakti pancasila pancasila versi arah komunis rezim diktator anti islam,1
2362,islam nusantara tetes telur kodok sih said agil kolektor cebong bang hidup sari sari comberan hasil buang koar koar islam nusantara,1
2363,bagus negara kafir tat ustad hijrah k thailand ya,1
2417,lestari dungu biadab islam lestari dukung hadap teroris islam,1
2419,berita twit tanggal 18 lukman tunggu rakyat indonesia islam,1
2427,pamor rk a inya partai politik usung dukung nista agama,1
2428,nama pahlawan malam saran lapor coba agama sih abu janda 2019 ganti presiden,1
2453,nu cabang kristen,1
2464,muslim rohingya usia 80 lari persekusi teroris buddha,1
2487,tuju partai adil sejahtera partai komunis indonesia partai komunis indonesia persis sepe i partai adil sejahtera gaet golong akar rumput isu isu agama partai adil sejahtera ai komunis syariat,1
2488,koar koar nya gera umat eh ngebacotnya dukung politik dasar bani cabul otak 212 monas,1
2500,ajak rakyat wisata ziarah negeri biar rakyat tipu laku ziarah umrah haji,1
2507,kerja bersih jajar menteri agama allah subhanahu wa taala janji rampas tuhan buang,1
2512,usir buddha tanah jawa,1
2517,tokoh tokoh agama politik praktis amp identitas agama jabat jabat publik sepe i presiden lurah sepe i lingkung agama buddha biksu makan daging amp minum minum keras keluarga,1
2519,bahaya islam bukti lihat teroris islam isis pandang sudut islam bahaya,1
2527,ayo jaga utuh negara republik indonesia tangkap nista agama stop kriminalisasi ulama uniform resource locator,1
2537,usir duta negara kristen putus hubung diplomatik,1
2538,pbb dunia kumpul dana manusia rupiah 11 9 triliun irak islam buang,1
2549,cina negara komunis anti islam sesal rezim hutang negara komunis,1
2550,ayo muslim hantam lgbt rakyat paham buang islam parmusi dorong rancang undang undang anti paham lgbt,1
2552,pilih ahok pilih iman koruptor munafik bodoh,1
2567,tuju hidup muslim ibadah allah subhanahu wa taala be entangan bangsa negara,1
2588,bawa nama islam partai komunis indonesia ai komunis syariat,1
2597,putus erka hormat pilih ai dukung nista agama,1
2616,allah subhanahu wa taala dungu biadab kafir hilang muka bumi sisa mukmin,1
2644,penjara nista agama turun uniform resource locator,1
2652,teroris kafir buddha myanmar,1
2687,ajar catut nama tuhan nikmat jalan hidup muhammad bejat,1
2690,ulah cebong kafir keparat,1
2695,keliru manusia tuhan tuhan layan pamer kuasa surat pemberitahuan ajar alquran,1
2705,teroris buddha myanmar tembak perahu tumpang anak anak,1
2715,kaum nasrani yahudi kali om pecah belah umat muslim astagfirullah,1
2755,bahas bangsa tuhan maha esa pancasila orang indonesia allah subhanahu wa taala benci kafir tuhan,1
2783,umat agama islam jaka a haram najis ahok kafir kristen,1
2787,assalamualaikum bela kristen sembah bangkai yesus busuk bela kristen bodoh,1
2805,jaka abanjir pimpin akhlak nista agama,1
2819,kang fakta ai dukung sih nista agama benci rakyat masuk rakyat jabar uniform resource locator,1
2829,jaka abanjir pimpin akhlak nista agama,1
2856,langkah perintah bubar akun nyinyir kader jebol hati kali,1
2919,tenang dukhan muslim sehat sehat kena flu kafir amp munafik nanah telinga amp tubuh bengkak 40 modar,1
2922,mayoritas etnis cina daerah khusus ibukota solid dukung nista agama islam dendam nasionalis,1
2945,lawan usir duta myanmar boikot urus buddha,1
2986,reformasi gulir media indonesia asai non muslim moral masyarakat hancur,1
3001,cina babi komunis anti agama utama islam bikin ribut indonesia,1
3010,kristen lesbi ya,1
3045,bajak agama intoleran reaktif agama badik tusuk lawan duniawi dadak toleran hina kawan duniawi ya agama kejar tuju tuju,1
3061,biadab ahok cina kafir rakyat asong asong gusur gusur aniaya surat pemberitahuan teroris ahok kafir biadab,1
3063,masjid pasang spanduk 2019 ganti presiden marah masjid pakai ceramah politik tanoe non muslim dukung,1
3067,nista agama santri hormat kasih ahok otak reparasi pilih kepala daerah nama santri kail jual belikan,1
3069,kalah suha o prabowo lawan opini 1998 libat konspirasi global as cina sekutu dukung rencana csis elite katolik radikal konglomerat tionghoa jatuh suha o,1
3070,19 pimpin masjid pimpin ajak jalan syariat islam sungguh sungguh jatuh pimpin non muslim,1
3082,jujur percaya allah subhanahu wa taala perintah penggal kafir tuhan lukman,1
3097,ayo ajak mas goen alih sembah allah subhanahu wa taala benci kafir bakar kemenyan,1
3112,hubung munafik kitab hina lapor polisi waspada cebong kafir islam,1
3160,allah subhanahu wa taala tolong bang fahri henti salat,1
3170,takbir wan lempar bom allah barbar mayat ayat alquran timur bikin muslim radikal tolol otak,1
3185,muslim indonesia maju henti sembah nyembah allah subhanahu wa taala oceh jatuh takut hati orang 2 kafir 8 12,1
3191,percaya muhammad nabi tulis argumentasi ragu,1
3197,bro kitab suci fiksi bera i agama wahyu nyata surat pemberitahuan mutlak harfiah filosofis langgar umat agama konstitusi norma agama nista agama kotor ateis mati,1
3223,abang ipar adam nih bangkai dasar tunggang agama,1
3277,salah 1 anggota hati sakit hati organisasi masyarakat nya bubar amp maju,1
3278,dungu budak islam tifatul adam dongeng yahudi,1
3324,teroris buddha perintah kerah cyber army bikin hoaks amp retas akun akun pro rohingya,1
3326,partai adil sejahtera ai lacur beyek germo partai adil sejahtera sadar susilo bambang yudhoyono otak kriminalisasi lhi politik islam khianat prabowo hatta langgar pilih presiden 2014 hancur citra islam 2010 2018 partai adil sejahtera susup antek be,1
3357,betapa biadab teroris buddha myanmar uniform resource locator,1
3363,bro kitab suci fiksi bera i agama wahyu nyata surat pemberitahuan mutlak harfiah filosofis langgar umat agama konstitusi norma agama nista agama kotor ateis mati,1
3364,sontoloyo sok ipar allah subhanahu wa taala,1
3375,tolol bela nista agama sangka,1
3377,hasil nyata lindung ahok dakwa nista agama,1
3386,iklan ahok jahat bikin darah didih bangsat penuh propaganda islam radikal,1
3410,ayat dingajikan perintah rang bunuh penggal kafir,1
3425,ajar aji ayat cocok cocok penis penggal kafir pahala biadab,1
3436,peluang tokoh ubah lukman hidup allah subhanahu wa taala sesat,1
3452,salah keberserahdirian menteri agama ekspresi tuhan layan sembah sembah,1
3453,dipungkiri rezim jokowi rezim anti islam,1
3474,ahok orang nista agama,1
3586,allah subhanahu wa taala benci kafir ajar cocok cocok penis istri gemar azab janji rampas,1
3611,orang kiri komunis sosialis marxis mental khianat ajar anti agama buang banding nya 1 99,1
3630,prof bahas fiksi singgung agama te entu ramai olah olah nista bu suka rendah azan hijab syariat islam koar situ sehat indonesia lawyers club prabowo balas pantun,1
3654,kebaji konghucu lukman ajar cocok cocok penis 4 istri penggal kafir,1
3659,abu janda lapor polisi daerah metro jaya kolega sih gun kitab suci fiksi alamak ayo abu janda lapor sih gun ya,1
3661,kristen bunuh afghanistan,1
3678,arsul sani guantanamo indonesia dewan wakil rakyat cepat gelar reksadana pasar uang klarifikasi muhammad allah subhanahu wa taala,1
3680,al alquran ya bang mulut kayak orang kafir bejat hina,1
3684,menteri agama hapus teroris islam indonesia lukman hakim si paham islam,1
3706,gelar profesor doktor tolol orang tolol kutip alquran sayang,1
3717,orang kafir masuk surga orang islam sila cari surga,1
3723,iya kafir sih darah halal bani kocak kayak situ,1
3769,famili islamic famili kafir laknat bodoh laaa hidup tipu kasihan mak didik adab adab agung perangai xguna tipu bohong matilanak,1
3775,eh banci teriak kafir kafir suka coli muncrat teriak mulu berisik cong dasar mulut banci yahhhh,1
3794,ayat ayat dingajikan rampas halal rang bunuh penggal kafir cocok cocok penis rusak bangsa,1
3798,baca muhammad catut nama tuhan setan fahri,1
3828,baca deh qs al almaidah 48 al qur an kitab suci kitab kitab suci allah turun al qur an kiblat kitab kitab suci logika rg nista agama islam,1
3848,percaya islam presiden fiksi,1
3859,myanmar kafir buddha teroris,1
3864,video mujahidin serang pasu teroris buddha myanmar uniform resource locator,1
3890,jambore aji ayat penggal kafir ketua ikat cendekiawan muslim indonesia,1
3895,nyata din syamsuddin pintu masuk cabut izin didik islam,1
3907,alquran te ulis orang kafir wajar tau sih sila baca turun,1
3916,universitas islam rohingya maungdaw bakar teroris buddha 12 9,1
3917,tuntut sih nista adil orang kristen islam benci beda tahan nista,1
3931,haha maki lawan tindas pimpin munafik lindung nista agama agama no 1 islam taubat root,1
3934,agama jalan hidup sembah nyembah allah subhanahu wa taala tuhan dungu biadab,1
3938,kopar kafir pret pret bukti junjung sih uno beril nya negeri kafir,1
3945,ketua ikat cendekiawan muslim indonesia intelektual muslim berani bahas buka muhammad nabi gadungan,1
3983,cewek pakai kerudung ya kali konferensi pers citra islami kali haha,1
3994,lapor islam hina majelis ulama indonesia front bela islam ban,1
4007,ya rezim anti islam,1
4043,kristen o odox agama keri salat pakai jilbab tampil orang,1
4113,orang islam bodoh goblok milik ahok debat final pilih kepala daerah jakarta,1
4140,when tumblr tiktok telegram are blokir by the government salah orang blokir aplikasi menteri komunikasi informasi goblok when a zionis kills one palestinian dasar yahudi amp boikot israel beli produk kafir,1
4154,napi ya napi beda ya tolol sok bela nista agama status napi bong hehe,1
4168,ajar sih garong kafir,1
4193,komunis zionis yahudi,1
4199,bubar hati tolak paham khilafah,1
4200,ayo muslim indonesia berani penggal kafir rani diskusi majelis ulama indonesia nu muhammadiyah ikat cendekiawan muslim indonesia,1
4204,kaum otak cingkrang suka hoaks maklum jujungannya prof abal abal ulama ajar sekolah kafir k sejarah nu dukung khilafah minoritas ya cari simpatisan nu dasar wa,1
4209,anjing komunis nista islam,1
4214,agama ulama majelis ulama indonesia anti bineka tuduh halang sih nista gubernur tahan nista,1
4217,op rohingya teroris botak teroris buddha uniform resource locator,1
4227,busuk mawati agama islam takut gejala gila nih nenek,1
4240,setir enam belas giga byte rm45 harga yahudi pangkah kedai,1
4249,henti pamer dungu biadab islam wiraswasta sembah nyembah allah subhanahu wa taala janji a rampas,1
4252,iya trump nista agama anti islam hubung anis,1
4296,haha kampret mengatasnamakan umat ulama cebong,1
4297,allah subhanahu wa taala dungu biadab jarak vila makkah tinggal ar masuk hati kecewa buang,1
4303,komunis anti agama,1
4311,a inya percaya alquran kitab hukum allah subhanahu wa taala buang lukman,1
4335,perilaku sih babi benci bau islam cocok ahok,1
4360,presiden indonesia jongos cina komunis kaya antek antek cina gerombol buddha teroris sokong cina racist,1
4386,moga laknat allah rusak islam,1
4391,setan nama allah subhanahu wa taala,1
4396,benci bit ah ego tendensius ego alergi arab arab kover kafir mbah te awa,1
4412,negara agama hilang budaya pengaruh agama ya kecuali sih mayoritas kayak sih resek paksa paksa orang agama,1
4466,ya kafir suka urus urus wkwk,1
4467,fakta cina cina parasit otot bela sih nista agama,1
4475,lawan yahudi zionis fokus lihat betapa rukun orang yahudi beda alir muslim rukun menang lawan yahudi,1
4489,muslim mudah buang islam menteri agama wajib usul kafir,1
4502,maksud indonesia mayoritas muslim suruh pilih pimpin cina non muslim ya,1
4511,haha pilih kepala daerah dasar polisi made in cina lindung nista agama,1
4516,oh yeke isu negara kafir nih,1
4537,pikir anak bani kampret beda nista agama fitnah tipu garong,1
4539,wahabi takfiri gurem bro bacot doang gede minggat suriah gabung isis najis bani takfiri,1
4550,cina bicara cina orang islam rohingya usir buddha myanmar kampret,1
4555,jidat gosong gaya islami mental bajing dagang agama calo ibadah uang orang ibadah embat busuk,1
4558,idiot islam gerombol jual ayat agama islam dungu rawat beda salah rocky gerung islam fiksi nge i a iny,1
4568,partai komunis indonesia now partai adil sejahtera front bela islam hati huh saracen bayar demo demo fitnah provokasi sara jokowi ahok bayar o susilo bambang yudhoyono prabowo hati thread starter isu istana pro cina partai komunis indonesia anti islam,1
4628,front bela islam dukung ahok kalah izin allah gusur gubernur koruptor nista agama uniform resource locator,1
4715,hati racun contoh orang racun hati,1
4729,oke banget usir minoritas umat buddha indonesia ba er umat islam nya,1
4743,situ nih muncul anjing na yahudi israel indonesia ngilaaa gila rezim anjing anjing na israel berani muncul terang terang indonesia,1
4762,allah subhanahu wa taala dungu biadab tuhan kerjaaan hobi urus putar cocok cocok penis,1
4763,anggar belanja negara 50 triliun langgeng salat aji pangkas salat aji hilang badan nasional tanggulang terorisme,1
4774,nu henti dungu biadab bangsa fir aun raja hubung muhammad bejat,1
4775,berani muhammad nabi gadungan dorong komisi lindung anak indonesia larang anak aji,1
4787,kepung yayasan lembaga bantu hukum indonesia bubar hati ikat alumni universitas indonesia oi uniform resource locator,1
4790,tindas presiden majelis ulama indonesia keras sepe i majelis ulama indonesia putus hubung umat,1
4838,aung san suu kyi teroris buddha uniform resource locator,1
4841,percaya muhammad nabi sila rugi bom negara wajib muhammad,1
4842,tanda tanda kiamat x ya orang muslim ingkar al alquran pilih nista agama nomor koruptor nomor koruptor,1
4847,usir duta myanmar negeri kasih umat buddha tawar imbau henti siksa umat islam,1
4851,ulama impo insinyur timur haus kopar kafir musyrik bi ah,1
4877,tindak wenang wejang cermin pusat kuasa rezim anti islam bukti rezim partai demokrasi indonesia juang nasional demokrat anti islam,1
4919,allah subhanahu wa taala tuhan dungu biadab muslim laku kafir,1
4920,bodoh bera i tampil bro sifat kasih kristus pakai daster rambut gondrong jenggot bandot,1
4922,muslim rohingya teroris buddha bunuh anak hilang istri amp,1
4930,muslim teriak sakit hati allah subhanahu wa taala dungu biadab,1
4938,al alquran ya bang mulut kayak orang kafir bejat hina farhat abbas law,1
4952,ulama cebong abu janda nooo gerombol ya 1 alumni janda wkwk,1
4955,musuh tanda jiwa sakit lukman suku musuh muhammad gila,1
4961,syahadat allah subhanahu wa taala dungu biadab bangsa rusak fahri,1
4990,rezim ganti pulang anti islam percaya,1
5000,orang kristen sok tau islam tau islam komen sunat komen,1
5043,dungu jajah budak islam muslim ras pilih ubah racist,1
5059,kenyataanya juta rakyat asli pribumi miskin miskin ahok cina kafir,1
5067,tuduh majelis ulama indonesia oplos mudah ban islam oplos bahaya dewan wakil rakyat proses hukum urus gera fajar nusantara,1
5079,allah subhanahu wa taala sembah sembah psikopat harap teror horor sepe i brussel gila lukman,1
5080,bagus bang usir negara republik indonesia myanmar juluk negara buddha,1
5097,buddha radikal lindung usir duta myanmar save rohingya pray for rohingya,1
5105,yusril kelompok islam te indas era jokowi fakta 2019 ganti presiden,1
5106,perintah anti kritik perintah anti islam perintah antek partai komunis indonesia perintah antek yahudi alas bikin aksi tai banget,1
5109,habis habis bang usir kafir cina nusantara racun akidah tukang sogok kristen lacur minum keras kafir anjing,1
5118,siang malam maki maki ulama nongkrong media sosial ulama ulama bela nista agama sombong ampun,1
5119,cebong gila ngamuk ngamuk bela sih homo nista agama haha,1
5133,baca pancasila upacara ganti syahadat negara republik indonesia isi inti pancasila,1
5136,perintah rezim tongkol polisi tongkol ulama iya ken stop kriminalisasi ulama,1
5217,benci racun ada tekannnn kaaaaaa haha fuck yahudi,1
5235,bodoh budak islam ketua ikat cendekiawan muslim indonesia allah subhanahu wa taala tuhan gerhana,1
5246,kecebong partai komunis indonesia anti islam diktator jokowi,1
5262,ustad goblok nih tau kafir sunat umat yahudi bayi kayak nge i coli sunat muka,1
5270,riya banget singapura kafir jul 100x singapura cari minyak babi jul,1
5298,idiom cebong kampret sengaja embus oknum kafir pecah belah umat islam indonesia,1
5314,muslim jaga negara republik indonesia henti me sembah nyembah allah subhanahu wa taala dungu biadab,1
5341,diktator jokowi jongos organisasi jagal manusia nahdlatul ulama ulama,1
5365,orang kafir baca ayat sotooooy fir,1
5397,rezim anti islam zalim ulama uniform resource locator,1
5408,ciri khas muslim masuk berani argumentasi berani bawa bawa malaikat,1
5418,bangsa indonesia soekarno ulama kiai juang muslim juang muslim negara islam,1
5445,mulut allah subhanahu wa taala alquran busuk kafir laknat,1
5451,allah subhanahu wa taala batas dungu biadab batas negasi,1
5478,35 umat islam milik kriteria hadap pilih pimpin pimpin masjid pilih pimpin non muslim,1
5483,muhammad alquran manusia bejat,1
5491,hoi gay banci situ kafir ya nge i islam orang hijrah hijab wajib saudara iman tutup negatif dasar kaum laknatullah alaih,1
5505,bukti rezim anti ulama umat islam uniform resource locator,1
5531,cebong otak hina ulama indonesia non muslim ajar,1
5545,allah subhanahu wa taala oceh tiada lindung tolong allah tolong sembah sembah 29 22,1
5547,ejek islam ajar islam salah islam islam,1
5555,isis islam islam isis hidup tinggal islam stop salat aji,1
