,Tweet,HS_Individual
210,tau bau bau cir sipit buluk,1
215,onta yaman nih gue depo asi,1
217,anak cocot ya,1
218,udah hoaks ya fahri ambil berita tuyg tong sampah ambil screenshoot tau berita,1
221,indonesia mundur bentuk,1
223,haha blunder cebong protein energy malnutrition pusat alas ham rakyat aceh ya kali coba perintah bilang suruh hukum islam kaffah aceh dewan wakil rakyat a,1
232,nikita mirzani pakai hijab bicara cebang cebong fantasi uh ah cokorers,1
238,laku bodoh masuk kategori senang laku sontoloyo menganggu bangsa laku naif langsung bentuk intimidasi hadap ulama laku,1
244,kayak orang bego bro b ego,1
247,orang orang bego minum amp makan kotor onta otak nya somplak,1
248,kuak strategi kampanye tim menang anies sandi uniform resource locator,1
253,rabun budek gue tulis bicara,1
255,brahahahaaa cebong nya ahoker cebong cebok,1
260,presiden tuduh rezim anti islam negeri umat uniform resource locator,1
261,manusia bangsat,1
263,prabowo partai adil sejahtera bib asyik anggap antek prabowo antek partai adil sejahtera hidup dramatis,1
267,maaf kunyuk bro enak banget rasan sebar hoaks maaf sebar hoaks maaf mesti sapu biar jera nih orang uniform resource locator,1
273,dungu orang ganti presiden tau mikiiiir,1
276,kayak jablay grand theft auto jemput pakai mobil,1
278,kerja musuh dakwah islam bubar hati rakyat hak lengser jokowi kodok tukang citra,1
279,ha lengkap orang bukti goblok sih,1
287,pakai buruh cina rakyat anggur dasar rejim kodok,1
293,ih banci selotipan,1
294,haha kalah nih iya orang jahat kalah,1
296,cinta orde meng idola prabowo amp hary tanoe,1
298,belah duren ya dungu ya cebong maaf ya,1
301,ahok verbal keras lampias lari lelaki lunak,1
309,rencana seret adil ham pbb uniform resource locator,1
317,survei metro televisi jokowi menang presiden hitung ya 45 kalah 46 salah judul maksud jokowi menang sumber zie bajrie,1
323,duduk istana negara lengser jokowi salam,1
324,hebat sibuk citra baca nih,1
325,muslim hina iblis betina nista syariat,1
329,jongos nista agama ahok sok sok ngong sara majikan nya tebar sara astagfirullah tobat,1
331,sih bejat cabul kecut sih onta iya,1
332,wibisono citra jokowi sebar up media massa pro asing kes jokowi hasil,1
333,adi gaya kayak beruk supir tembak metromini masuk dewan wakil rakyat kampung,1
334,km mainstream mengaa ikan pintar pintar relatif gantung bawa penge iannya surat pemberitahuan pintar meng undeeestimate orang gue pintar komen rejim now pintar mangkrakan janji janji doang sok making,1
337,gue pukau 2019 ganti presiden,1
342,langsung tag ainya berani ya bera i banci,1
348,ah asa hibur cebong bahagia presiden cebong tol cebong germo,1
349,resah presiden hidup penuh drama citra main film televisi joko judul uniform resource locator,1
353,papa ketua fraksi rakyat nya setya novanto dewan wakil rakyat pecat ketua dewan wakil rakyat pecat dewan wakil rakyat,1
356,ribut komunis bla bla emoh baca baca niat agitasi serang perintah pakai cari simpatisan,1
359,vital inter bek kanan beda ya era maicon ambrosio cancelo bagus nhmmmm bera i simpul geblek ausilio,1
360,nama agama munafik,1
361,43 contoh tuding duga korupsi susilo bambang yudhoyono dorong jaksa usut himbau komisi berantas korupsi usut duga korupsi jokowi,1
365,caci maki nista agama nyata poligami umpet sih ogah,1
367,sih royson jokowi kacung gue alas fundamental rezim sepe i sengaja masuk debt trap komunis cina north sumatera offshore wajib 2019 ganti presiden,1
375,cebong panas ngawur,1
382,perempuan kayak mending mati deh jelek sok make up a ist,1
389,banci kampung heeee,1
400,perjaka jual sok sok an booking tante idiot anjir,1
401,rev 1 pilih ulama kafir munafik,1
405,solusi 2019 ganti presiden dampak signifikan nya obat cegah sakit be ambah parah,1
408,culun mending kampung jess,1
415,ha bangkai nih truk,1
419,haha orang gila bicara cak micin biar otak encer cong omong ngawur muslim muslim silit tau babi,1
420,coba kaca introspeksi keluarga pakai hijab komunis otak pakai prope iya orang,1
424,copot darmin nasution menteri ekonomi ekonomi bodoh turun daya beli jabat,1
426,mata picek cuk norak lihat prestasi jokowi nguoblokkk tolol,1
427,hasil penjara ahok alumni 212 dukung rizieq lengser jokowi lebaran,1
438,sabar doa usaha ikhtiar mudah mudah bentar 2019 ganti presiden pakai sontek pakai plonga plongo,1
441,celeng nya bang acon susah banget xa,1
442,cari musuh dasar ana cebong kampret,1
444,nih akun hasil bodoh kaum 212 bikin kaum kaum biar jokowi anti islam wkwk,1
447,amin rais bikin kacau suruh reformasi pilih kepala daerah salah hasil,1
452,native speaker ya mother language nya english komen jaga bangsat,1
454,salah tulis salah bu maksud nya cebong muda kampung,1
461,kiai staquf suku ras biar mudah paham nalar bahlul arab sembah sodor arab bani saud pro israel eh pura pura,1
468,gue diving mampus junedi,1
469,suciwati revolusi mental jokowi omong kosong bual tuju amp komen uniform resource locator,1
471,otak makelar jual aset negara maling aset negara pe amina jual isi tenaga kerja asing tiongkok 2019 ganti presiden nurl,1
472,akun siti fatimah amp komen laman ringkas parah amp bejat malu moga sehat sabar amp semangat suara,1
473,bawang putih kafir haram his hiks hiks,1
474,tuju ahoker lengser prabowo jokowi hancur penjara karuan uniform resource locator,1
480,mata lu picek ya janji jokowi tagih susilo bambang yudhoyono mata picek blok,1
483,as clara anak pintar dongok kocak cantik idot tau malu urat malu putus butt muka nya imut banget,1
485,presiden buruk sejarah bangsa bangsa cebong,1
489,ku padah eh even bodoh bulak curang ompu ya nya still segal sayang eh bodoh sikpande harga,1
499,wkwk mampus salah gue blok jaman jokowi ahok calon gubernur gaya intip intip anies sandi uniform resource locator,1
501,mata picek mata lihat belah,1
503,kocak kalabong dungu,1
509,ehhhhh bandot kritik jokowi mencret darah is oke hina fitnah ambil tindak jokowi presiden pimpin negara pimpin agama salah kaprah luuuu,1
511,astagfirullah mata gue noda kutuk nge bokep,1
513,kontol iya hapus,1
515,pergi bangkai,1
518,amin ya rabi tolong indonesia ya alah lebiiihhhh,1
522,bela pancasila daulat negara dukung lengser ancam nyata,1
523,proyek saracen ganjal lantik anies temu saracen foto tokoh ai politik,1
524,sih ahok kutil babi,1
528,jokowi kasihan goreng pbb,1
531,kepala polisi republik indonesia mundur jabat,1
537,ya bentar utang susilo bambang yudhoyono njiiieng,1
542,ogah prabowo gatot oke,1
549,najis kirim pesan direct message gue balas bodoh gue doa pentas menang,1
550,cowok bacot sih anjing gue gampar,1
552,indonesia lawyers club boediono century intens lupa kunci butuh 2019 ganti presiden,1
553,maju gubernur sengsara rawan,1
556,copras calon presiden pikir mikirrrr pikir sih kowi 1 periode babak bur uniform resource locator,1
557,tau jokowi panggung jilat jilat prabowo dasar lintah uniform resource locator,1
558,barusan dongok dongok motor klakson be ubi2 lampu merah oi dongok berisik norak pas tengok tau teman chain menang ganti lu darah puteeeh,1
562,dengar ulama otot kriminalisasi ulama ya lengser jokowi,1
563,bencong bacot cewek kayak banci amen kasih duit bacot mending cakap jelek kayak suram mentioned gue langsung kutip twit,1
569,dukung calon presiden suka atur jokowi prabowo atur menang pilih presiden 2019,1
570,hebat ahok maaf bini salam 7 surat pemberitahuan ono kabur malu ulama laku bejat,1
574,hidup prabowo anak soemitro penghianat bangsa,1
575,perek sih doll ya,1
576,pilih presiden orang tua nya penghianat negara,1
577,sih ahok bilang nista agama kayak politikus koruptor panggil urus hukum ngeles pakai sakit hati hati mati,1
578,tolol aji agama islam sp i orang aji orang,1
583,cina kafir bangsat dasar komunis,1
585,gue menang anjir cupu fik,1
590,salah amp bilang antek asing adik prabowo bilang prabowo pro amerika uniform resource locator,1
595,citra ah prabowo tidur,1
601,prabowo tua generasi muda blusuk jokowi muda blusuk pulau,1
606,baca banding modal hasil dasar antek asing,1
612,busuk mawati agama islam takut gejala gila nih nenek,1
616,bera i cacat,1
618,luhut bajing,1
628,prabowo si mulut busuk rizieq anies fadli zon fahri kumpul sampah negara laku kayak sampah,1
635,manusia otak dungu teriak teriak bubar partai komunis indonesia buku baca bodoh otak kosong mulut iya iya,1
645,woi bolot,1
653,improvisasi lagu al qur an tafsir masak susah pikir murottal tingkat tilawatil qur an tingkat raut muka tafsir kentut tafsir ngentot tafsir kawin tafsir aji,1
655,panik ganti presiden tau calon ups pimpin koruptor te angkap ganti presiden tau negosiasi,1
657,ekonomi hancur subsidi cabut bahan bakar minyak mahal listrik karuan sembako jangkau rakyat politik kisruh agama nista bijak pro rakyat ham bengkalai leadership lemah periode,1
658,indonesia hormat as kemarin bicara nwahhh roman roman antek asing,1
659,usir pasang asing cina selamat hutan,1
662,cipta hoaks ya presiden wakil,1
672,gilir ambruk plonga plongo kayak ayam kena tetelo putin prabowo indonesia 2019 ganti presiden,1
675,sindir deh 2019 ganti presiden,1
676,percaya akun wa 081381413774 nya percaya video camera sex bukti video call detik pas suruh transfer alas nya ni muka nya kayak monyet uniform resource locator,1
677,bicara sains tonton youtube laku eksperimen tonton youtube modifikasi aduh geblek,1
681,jokowi serah ganti jokowi lengser jokowi kisas jokowi uniform resource locator,1
684,homo sial bajing goblok gian amput anjing tepi jalan moga terima balas nya,1
687,direct message sis zon bilang kampang kesal bangsat,1
688,alah kontol,1
693,susah bang jawa pegang jokowi antek sedih sih,1
694,rezim orang kayak berani tampil layar kaca mohon ambil tindak,1
705,orang tau islam belaga bunyi pidato jokowi sesuai ayat qur an allah ubah nasib kaum kecuali ubah ganti presiden rakyat ganti tuhan ganti rakyat,1
708,otak taruh taruh congor,1
709,sih dakwa nista agama alias sih ahok babi jamban morfin uang rakyat jaka a,1
715,najis sok banget jutek iyuuuh gue yanyk,1
722,atur presiden jokowi atur presiden susilo bambang yudhoyono buka mata lihat bacot bodoh bodoh,1
731,hina keluarga jokowi langsung ciduk gilir hina prabowo susilo bambang yudhoyono biar,1
734,haha silvy oh silvy cacing ah wkwk debat final pilih kepala daerah jakarta,1
741,bagus pakai petisi lengser jokowi ya ahok cipinang,1
746,laku raja salman citra,1
747,edukasi manusia manusia udik sepe i,1
749,tolol hubung rumah tangga urus kerja cakap menteri pecat gubernur jaka a karuan sebentar hancur jaka a,1
752,nih ya gue cowok burung cewek cewek nada nada transgender indonesia nyanyi uniform resource locator,1
755,tertawa gue tai gampar,1
763,wkwk trigger bani onta,1
764,berengsek ya mantan gue one thing bout her gue suka mulut filter sok gue jujur,1
771,ya gue demo jokowi tendang palkjihun dunia,1
772,jelek udik,1
773,muak fitnah prabowo,1
780,kayak tai,1
782,jago bakar isu partai komunis indonesia komunis,1
784,sih joko populer pro nas jakarta sih ahok mw kalah proyek proyek jakarta 1 bangun selesai bangun ruas ruas utama cebong goblok salah ani,1
786,anak anjing kampang,1
789,hai kunyuk paham ya prabowo subianto calon presiden salah presiden play station mem,1
795,nih sih nyinyir hijrah tutup koreng,1
796,pakai paksa paksa jokowi duduk rakhine prabowo anggur politikus anggur omong ngawur,1
801,jokowi ahok te unda penjara ya uniform resource locator,1
813,bong dungu video 31 detik langsung ambil simpul heran dungu kolam,1
821,haha babi migrain plak twit caring babi iya hg reply twit lepas brim nih good timing,1
826,bikin puyeng kepala prabowo amin rais om nada nada bicara mutu,1
839,ahok si mulut jamban tokoh nilai bahasa indonesia norma etika 0 tai kucing,1
841,jir dahak wkwk tolol,1
843,ya goblok mas jaka sembung bawa sepeda sekolah bawa golok gila nih orang tua nya,1
847,ahok tai fitnah tukang caci maki perempuannn anjing ahok tumbang debat final pilih kepala daerah jakarta,1
850,ridwan kamil hebat top kayak ahok tukang nista agama koruptor,1
853,lihat main lengser jokowi hasil ganti presiden sepe i o ganti habibie,1
854,media sosial presiden soeha o lengser jokowi,1
856,sih anjing lebay geblek,1
857,ambisi kuasa sah sah bilang otoriter sih uniform resource locator,1
858,hem kayak turun pakde nih akal sehat jalan,1
859,heran setan iblis kabur takut dengar azan makhluk allah anteng dengar azan pura pura budek kuping kalah setan iblis,1
861,aset negara jual ya ruhut hebat impor pangan rajalela bahan bakar minyak babi buta puluh juta lowong kerja asing hebat joko widodo bikin rakyat negara sengsara hancur,1
864,98 dolar 12 000 koar koar rezim lengser tembus 15 000 jilat kuasa kasihan rakyat korban propaganda politikus busuk,1
865,pagu ajak gelut onta,1
867,prof jeffrey musim dingin jokowi presiden lemah sejarah indonesia anisa bahas prof jeffrey musim dingin bagus analisis 2015 bahas 2019 ganti presiden,1
872,pecun kelas teri nih uniform resource locator,1
882,ya allah daniel beli micin bego lurah,1
885,prabowo layak calon presiden layak presiden,1
887,jokowi era bangun duit utang,1
889,klop prabowo berontak koruptor,1
891,udik darah daging,1
892,baju muslim be uliskan 2019 ganti presiden 2019 prabowo presiden,1
903,haha cebong kafir alay goblok munafik jijik banget ih,1
905,iya jual sih koh mata ih picek ta liak tas jlentrek sak tai dayak dik toko tas kulit lumpia sek kosong tas kulit kadal koh cocok lidah,1
917,orang bodoh opini partai komunis indonesia bangkit presiden pintar akting citra intelijen tentara nasional indonesia bicara partai komunis indonesia bangkit,1
919,ngapain komen tolol,1
920,sarap peduli bgstttttttt,1
922,goblok nonton acara nya malam beliau islam fiksi bukti video nya islam kafir islam banget fitnah muslim kafir gue heran,1
926,fix sinting,1
928,mamat masuk van celah kereta lai rusak setan dasarrrr,1
942,besok prabowo calon presiden teriak teriak timpang percaya maki wa awan gaji,1
943,tabayun ngomyang cocot busuk wkwk pelihara main isu sara bangga,1
948,bilang kafir susah haha sel sel otak sambung ya susah kafir cebong orang bicara bicara maki agama islam pakai rujuk internasional haha,1
949,maksud kelas diam bicara ya nama otoriter,1
951,monyet komunis tolol,1
961,freepo kontrak habis istimewa aneh dolar tembus 15 000 diam jilat kuasa dungu ya tum lihat bobrok kerja rezim,1
966,kirim bantu citra,1
967,eh anjing bacot gue tantang duel bangsat,1
970,dasar kunyuk nih cari duit modal tipu bangsat abu,1
971,baca berita nya nih aki ganggu jiwa nya 2019 amin kalah malaikat bilang kafir pro asing kasihan malaikat nge i urus calon presiden bawa aki gila,1
973,cari simpati umat muslim jabar pilih presiden 2019 mudah an ulama amp umat islam jabar kesima amp pengaruh trik gaya munafik sih mukidi,1
974,tebar benci ahok mbak mbak tau sih dakwa,1
975,mampus gue mampus yugi mampus onta arab,1
978,paksa orang penjara bajing kedok agama,1
981,dongok bong kampret kalabong marah marah suruh laden tetas bong bong,1
984,susilo bambang yudhoyono objektif mumpuni politis indonesia hebat kayak jokowi presiden uniform resource locator,1
986,bacot album album gue beli pakai duit gue rugi emak akibat dicerahami beli album,1
988,nama jonru ginting status lapor benci duga dukung anies sandi,1
989,bicara geblek,1
998,kampret,1
1000,gubernur tabrak etika jabat lantik gubernur dukun ya calon presiden senang presiden jabat ya lantik beliau calon gubernur dukung presiden calon gubernur,1
1004,prabowo subianto restu ketua gerindra jawa maju pilih gubernur alas uniform resource locator,1
1015,jokowi mundur pas,1
1022,dasar tolol,1
1023,hormat lacur pakde iblis betina kerja sebar hoaks nista sih hidup,1
1033,bangkai,1
1039,amp hukum sih bangkai turun babi keparat derita alami rakyat indonesia nusantara bahasa adat istiadat budaya ras agama suku pimpin a,1
1043,bak sampah jerman anis resmi toilet keliling gunting pita ya nomor induk siswa,1
1048,sanggup tangkap presiden tugas ai jujungan mangkrak ya jinjing,1
1049,lawan politik tebar fitnah upaya jegal prabowo maju pilih presiden 2019 uniform resource locator,1
1050,tau junjung cebong licik ya hamba tukang tipu,1
1054,fubu an ajar calon nernya langsung hajar pakai analisa swot ajar kuat lemah oppo unity kayak amp threat bahaya logika gara gara disyerpik ketemu langsung sikat psiko mampus l,1
1057,2019 ganti presiden anggur tingkat,1
1058,kecoak bicara juntrung ya gue tinggal mutu bicara orang dungu kayak,1
1062,bodoh bangsa gue uji semester uniform resource locator,1
1067,jijik manusia homo,1
1071,dasar celeng,1
1076,maling teriak maling kafir teriak kafir orang orang kayak lahir campur tai,1
1077,sih anak kampang muncul twitter,1
1078,sih kakak cocot sitohang,1
1081,kayak kontol,1
1082,unik jokowi,1
1084,nabi adam fiksi nabi ibrahim fiksi nabi musa fiksi nabi nuh fiksi nabi fiksi ulama lihat dungu nuzul alquran logika,1
1089,sesal bangsat v sakit tunggu sehat ya lihat laku bangsat,1
1090,kafir samar makan babi mulut junjung tolak,1
1091,eh serius muntah tai hyung,1
1092,sinting rusak,1
1093,aki amien rais bilang prabowo karno karno suku agama ras pulau negara republik indonesia prabowo pecah belah dasar mabuk aki,1
1099,laku rezim jokowi baca rezim susilo bambang yudhoyono jilid 3 raih dukung republiken isu islam radikal terorisme islam ancam isis islam nusantara lgbt goreng republiken as presiden ri tang,1
1112,pikir arah riskan hantam posisi imbang condong habis hitam hitam 2019 ganti presiden,1
1113,september perang partai komunis indonesia desember perang topi santa prabowo menteri peran wanita,1
1121,dewan wakil rakyat majelis musyawarat rakyat ambil tindak pecat hormat setya novanto sudi wakil manusia hina tanda rakyat indonesia,1
1122,iya huhu orang udik lihat langsung peru kompilasi bilang waaah,1
1123,dongok super er promosi film wkwk politik wkwk persib politik,1
1124,cewek manusia homo,1
1130,rezim anti islam ya nge,1
1131,provokasi lengser jokowi gue lengser jusuf kalla biar adil biar ramai tamak,1
1138,ahok bebas ulama komando revolusi lengser jokowi sumber uniform resource locator,1
1140,selamat derita orang ih uniform resource locator,1
1147,goblok twit sih apes omong sih prabowo arah kesitu,1
1149,kakak kredit pinjam negara,1
1157,kaum cebong dungu saham ambil putus mayoritas untung gaji kerja alat freepo,1
1158,pakai jilbab komunis megawati sri mulyani puan maharani mentwit pintar ya tong,1
1160,bacot,1
1164,jokowi staf ahli khusus mempe ahankan aset nasional diktator jomlo lokal,1
1173,ahok tamat penjara ahok penjara ahok,1
1175,tolong ajak buzzer pintar anggar jago hina orang suka pakai lapor polisi aduh,1
1177,sinting kah km bos bubar komisi berantas korupsi km orang orang,1
1178,sampean sarap ya impor pesawat papa impor garam bayang indonesia isi garam garam impor dasar otak ampu kaki,1
1183,nya muara nya tanggung presiden solusi solusi turun jokowi,1
1190,ayo dukung penuh 1 000 2019 ganti presiden,1
1194,gue mimpi sentil biji babi ahok cetar cetar langsung kejang kejang adu jokowi jokowi sunat bicara al maidah,1
1197,wkwk mampus,1
1199,monyet komunis piara cina loleng,1
1206,promosi bani kampret,1
1211,nya gerombol hina presiden mesti proses,1
1219,lengser jokowi frop parah frop,1
1220,buta ya om,1
1222,baca judul monyet biar domba idiot,1
1224,bebas adil ustaz alfian tanjung langsung tangkap adil uniform resource locator uniform resource locator,1
1227,fitnah makan nih akun sampah,1
1228,anak monyet bawa bawa agama bicara politik tau wawas wkwk dangkal media sosial bicara sektarianisme pecah belah umat agam suku ras agama bicara kecebong makar orang panglima gatot kait,1
1236,zaman susilo bambang yudhoyono antek antek partai komunis indonesia rajalela ganas sepe i,1
1237,csis bohong harp menang 2019 cih uniform resource locator,1
1240,mundur gatot amp saing sehat jokowi,1
1243,nama cari nafkah bangsat,1
1247,keparat orang mantan gue,1
1249,sekretariat jenderal pbb saracen,1
1250,suka video uniform resource locator ahok bebas anies puruk amp ancam gagal gubernur sandi resmi,1
1259,balas gue balas mulu dasar onta cebong,1
1261,orang saksi anjing babi tolol uniform resource locator,1
1264,anjing goblok setan bangsat,1
1270,20 3 kb si koneksi bangsat,1
1272,dasar bajing percaya omong,1
1274,ganti presiden ndasmu atos umbar cocot he goblok,1
1276,malas gue baca onta,1
1277,anak berontak layak negeri,1
1279,detik bukti lelaki bajing,1
1286,presiden buta tuli pimpin tubruk tabrak budek dengar rakyat teriak lengser jokowi,1
1294,bro lupa jenguk gara gara asma dewi menang,1
1295,orang edan koe,1
1300,agenda tema beda tuju turun nya alat politik kemas agama,1
1304,onta,1
1307,anies sandi berani,1
1308,kutuk bro,1
1310,hebat nya teriak antek cina,1
1312,nyata rakyat susah menteri perek daya beli hancur setan iblis tukang tipu,1
1320,najis banget erel bencong,1
1324,ahok calon gubernur demo,1
1333,ayo serbuuu persekusi hina presiden hina ulama tuan guru bajang kiai said quraish shihab hina rizieq persekusi rizieq nabi,1
1339,sumpah subjek nih gila babi,1
1340,eto homo,1
1351,sih idiot jumawa menang kemarin 2019 ganti presiden,1
1356,orang mancam peluk negeri gedong gede dongok ngawur,1
1358,makar omong zon suka adu domba bawa nama islam agama pegang hidup orang sok suci zon mulut dower bacot,1
1362,bisnis biar 2019 ganti presiden presiden amanah siswi janji omong impor serba impor tani negeri gigit jari ampun deh,1
1364,cepat setan,1
1367,manusia homo,1
1370,sih anu agama ragu sih kafir,1
1376,hmmm cium aroma aroma jablay bangsat iya pergi,1
1384,kampung banget sih omong bahas sorry level debat dungu otak,1
1390,jokowi hormat hadap muslim zalim,1
1396,setya novanto titip absen politis kocak bikin malu wakil rakyat pecat,1
1399,mas manusia homo suka pentil mimi peri,1
1400,blokir jokowi mantap nyata dunia maya gambar tinggal realisasi dunia nyata lengser jokowi,1
1404,ber busa busa bicara deradikalisasi salat manfaat,1
1410,gojek 2019 ganti presiden ayo viralkan cc,1
1412,sengkuni tukang ramal lo ramal anies selamat bangsa cocot e sengkuni percaya masuk neraka percaya amin rais sih tukang ramal,1
1415,sumbu pendek jokowi koalisi negara partai komunis indonesia jokowi partai komunis indonesia lengser jokowi pusing hamba,1
1416,minat mail looking at whole ya dulunya cheater silap and maaf sampah sarap sshhh,1
1419,kampanye jokowi koar koar janji tarif listrik bahan bakar minyak cipta 10000 lapang kerja nyata nonsens bilang cacat,1
1422,pikir korban tewas orang manusia sontoloyo kayak anggota komisi nasional ham rela uang pajak bayar gaji orang goblok milik empati,1
1427,laku batak kafir ya sepe i sih suka pecah belah umat,1
1428,nama simpang susun bundar semanggi om habib waras dasar kampung om,1
1433,perempuan kayak mending mati deh jelek sok make up a ist,1
1439,haha sempit banget pikir bang kampret cebong doang kasihan,1
1446,sok keren etik jutek cocok udik banget,1
1447,rakyat susah cari makan pimpin jokowi gaya rakyat siksa rakyat ganti mati 2019 ganti presiden,1
1449,tunggu aksi bela kafir tanu,1
1450,ngakakkk banget kepick ya derita nice mochi gue lo taken lo cacat,1
1451,manusia suka sontoloyo model,1
1454,cebong senior nih,1
1458,cebong nge i,1
1462,bencong idiot it berani akun asli sebar hoaks fitnah coba lihat akun cong,1
1463,rakyat lengser jokowi,1
1468,nih utang era jokowi bencong diam sih gembel warung internet banci kaleng,1
1469,biadab rezim jokowi uniform resource locator,1
1474,maju anjing uniform resource locator,1
1477,lupa susilo bambang yudhoyono 10 kowi 3 persentase kawan sembako garam impo gila,1
1483,jomlo jablay kayak perek,1
1484,empok silvy nyinyir melulu pe anyaan nya sayang sesat maklum sih dese mak mak devat final daerah khusus ibukota debat final pilih kepala daerah jakarta,1
1486,sambung anjing nih bocah uniform resource locator,1
1491,nyata rezim anti islam bilang hoaks,1
1495,otak bani cebong 0 kosong orang napi nista agama selingkuh istri 7 amp mulut jamban puja puja bak dewa cebong koplo,1
1497,jaka abanjir pimpin akhlak nista agama uniform resource locator,1
1498,cristiano ronaldo bini calon presiden masak negara,1
1502,ustaz ulama bicara politik dibully henti anggota parlemen kritik maki maki bilang grup sakit hati tokoh nasional kritik bunuh karakter jabat aktif rajin kritik pecat jilat bicara politik sanjung,1
1503,jokowi anti islam,1
1508,melek mata hati serius nyinyir,1
1511,bego,1
1520,kutuk engkau,1
1521,kampang bal,1
1524,kayak bersih suci tolol teriak muslim saudara muslim mu makan emis kopar kafirin orang benci go,1
1529,wasit picek,1
1541,bukti on bukti congor doang,1
1544,iya manusia laku cebong hina marah hina,1
1550,guru aji bilang main sepak bola sepak bola olah raga partai komunis indonesia ejek antek komunis,1
1556,orang edan,1
1559,presiden tuduh rezim anti islam negeri umat uniform resource locator,1
1564,bego,1
1568,usaha kayak coba gue ky gue korban pergi pagi pulang malam sinting,1
1588,v tai conqueror bangsat v bantu gue karma dendi delio i need best jungler,1
1591,anak sih napi cina kafir usir,1
1596,ha dasar cina hitung,1
1600,segar rakyat janji jokowi beli pt indosat jual megawati presiden jual badan usaha milik negara,1
1607,monyet ekor banci plonga plongo,1
1611,bego nusantara,1
1618,dora sompret,1
1621,dukung hadap gera nasional fatwa ulama kalah 2019 aksi tangkap bu sukmawati hangat hangat tai ayam 2019 ganti presiden 2019 ganti presiden 2019 ganti presiden 2019 ganti presiden 2,1
1622,akrobat solidaritas laku lucu remah remah kuasa presiden jokowi gerus janji janji kampanye,1
1626,haha ejek buih sih,1
1632,kaca bolot uniform resource locator,1
1640,ustad mondok sih kerja mentwit bikin status nyinyir twitter kafir stad,1
