,Tweet,HS_Group
1174,isu partai komunis indonesia hembus grup grup dukung prabowo,1
1176,haji tipu ibrahim kubur kabah biar rakyat tipu lukman,1
1180,ya waspada antek komunis pintar kamuflase,1
1188,tokoh agama politik praktis jabat jabat publik identitas agama lingkung agama buddha biksu makan daging iya minum minum keras iya keluarga,1
1189,milik kampret bodoh otak kampret,1
1200,antek partai komunis indonesia simpatisan proxy cina komunis benci tentara nasional indonesia panglima wajar merek,1
1232,moga allah menghancurleburkan kafir buddha teroris zalim kaum muslim rohingya,1
1242,pe kakak es lagiiiii lo ai kampret sejati uniform resource locator,1
1244,tuju pakai banget sekretariat jenderal pcn ai cocot nusantara,1
1251,kampret rusak nusantara jaman majapahit langsung wadah hati rekan ide khilafah,1
1254,kh ruf bicara belaga budek belaga pilon sundul ganti presiden,1
1256,rakyat suruh pilih spa bubar nya dewan wakil rakyat bubar sesuai konstitusi uniform resource locator,1
1269,ahoker 11 12 jokower surup rakus 2 periode 2019 ganti presiden gerak,1
1285,bandung butuh acara acara pekan tanggal merah macet bangsat,1
1291,bising cina cina nih,1
1299,kritik jokowi anggap nyinyir bani kolam kritik ujung dukung 2 periode lo kritik dukung a inya nyinyir haram definisi kritik ala cebi nalar rusak parah,1
1301,pahlawan juang susah payah korban jiwa raga usir jajah eh biar negeri jajah cina mudah,1
1317,surat pemberitahuan ahok nasional demokrat susul rekan nya dukung pasang calon nista agama tukang caci maki tai tai,1
1322,sih anjing banget paypal,1
1352,panas partai komunis indonesia,1
1353,mari bubar dewan wakil rakyat uniform resource locator,1
1360,bajing indosat,1
1363,wisma darul aman kerja banci politik,1
1373,presiden hina kepala polisi republik indonesia menteri hukum hak asasi manusia menteri didik budaya menhan abu janda ansar baris serba diam ajaib,1
1377,donatur 212 korban iya sih korban korban biadab tipu 86 720 orang umrah nc,1
1379,biar perintah provinsi daerah khusus ibukota kerja mari dukung bantu perintah provinsi lawan cukong asing asing koruptor teguh perintah provinsi daerah khusus ibukota warga daerah khusus ibukota jaka a lawan cukong asing asing k,1
1382,ajar muslim agama ajar bunuh paham islam agama ajar sesat sembah nyembah allah subhanahu wa taala biadab,1
1389,palestina antek asing,1
1395,mohon maklum bani kodok gampang meriang oksigen comberan,1
1398,selamat bani kampret,1
1420,bilang alexis tutup surat hehe tertawa baca pers rilis manajemen alexis kampret gampang dibegoin bilang tutup eh eks alexis,1
1425,geng messi kontol deng biar icardi amp lautaro cepat setel,1
1430,pertamina rugi garuda rugi usaha listrik negara rugi kau rugi badan usaha milik negara untung devisit sungkan bilang jokowi presiden hebat gilir anak bisnis pisang goreng omzet triliun percaya dungu,1
1432,bukti modal fitnah cebong modal bacot kencang fitnah bukti beda teman teman kolam,1
1455,sumbu pendek dukung nista agama islam al almaidah 51 mencak mencak dungu,1
1461,res res cebong goblok ya res maklum,1
1471,cebong nasehat bu mempan mempan ludah kali belah kiri baca auzubillah,1
1472,sepe inya gerombol rindu rusuh hati hati kabul tuhan iklan ahok jahat,1
1480,oi bos bilang sih orang hina agama sih berengsek salah tindak rupa ajar heran junjung,1
1488,ganyang partai komunis indonesia bese a antek antek,1
1490,bubar komisi berantas korupsi fud orang sangka kalah nih,1
1506,kelompok pelangi kristen radikal kaum sekuler komunis cibir habibie kelompok pelangi kumpul sih,1
1510,anjing anjing lapar rakus duit pesta pora curut curut maling duit rakyat makan kenyang teriak teriak kopar kafir asing asing kedok goblok puja,1
1518,kaum bani cabul bohong makan bohong pulang donatur azab allah,1
1523,allah subhanahu wa taala sembah sembah muslim setan halal rampas ajar tunduk patuh obar cocok cocok penis,1
1526,muslim rohingya hilang kaki akibat ranjau darat tanam teroris buddha,1
1536,10 orang kaya indonesia 1 5 orang indonesia orang cina keri indonesia kayak singapura pribumi usir,1
1538,sifat kampret cebong licik culas amp fitnah dasar cebong kampret,1
1545,media pura pura bego ajak ajak bego orang nama bodoh parah,1
1566,usir jajah cina bumi indonesia,1
1571,ya alah cebong kreatif banget bahasa pakai cebong anak kodok nabi sih kodok panggil cebong laknat 2019 ganti presiden 2019 presiden jokowi,1
1572,j nih cebong bangsat cepat modar bong hama j bangsat,1
1573,hoaks ancam komisi berantas korupsi amp dewan wakil rakyat tangkap tangkap orang dewan wakil rakyat malu malu ya ancam bubar dewan wakil rakyat,1
1579,sandi anies susul sahabat sahabat buron tangkap lantik,1
1594,salah bangsat kecut indonesia dukung bangsat kecut bani onta grup kabur arab tuhan tidur surat pemberitahuan hadap ahok pal,1
1595,tangkap kalimat sok pintar kolam pakai ngata ngatai islam kasihan banget teman cebong islam mati mati bela cebong kafir tau agama islam hina hina cebong kafir nih haha nas,1
1597,dear sinyal 4g pekanbaru nih kacrut lot kura kura resta,1
1598,ya sepe i tuan guru bajang bantu sadar kaum bani cabul bani kampret main ayat ayat suci demo,1
1601,hormat kasihan cebong kaum dungu,1
1608,haha idiot bilang orang orang kafir utama nasrani dukung dukung ahok kafir pasuk wilayah wilayah syariat islam,1
1609,ayo umat islam pintar percaya aksi 112 hubung pilih kepala daerah agus harimurti yudhoyono bayar anies untung ud83d,1
1614,aset indonesia ambil orang asing freepo ambil amerika,1
1624,butuh presiden ganyang partai komunis indonesia anti partai komunis indonesia,1
1631,bangsat wakil rakyat mulut ya bangsat monyet wakil rakyat mulut ya monyet babi wakil rakyat mulut ya babi anjing wakil rakyat mulut ya anjing,1
1635,akibat makan gaji duit korupsi bantu likuiditas bank indonesia laku tokek tokek cina otak cebong dungu tenaga kerja asing cina fiksi fakta anggap isu fiktif hancur negara jual,1
1636,modus sindikat cina tipu uang rakyat indonesia usir cina indonesia,1
1639,hapus islam ajar sesat dungu biadab umat,1
1642,aksi dukung pilih presiden suara nada pribumi rakyat indonesia buzzer 2 bayar cina,1
1648,surat perintah henti sidi bong bukti halu cecunguk kodok alias cebong,1
1651,antek antek zionis komunis,1
1652,sesat lurus allah subhanahu wa taala ajar bangun keluarga cocok cocok penis,1
1653,beda banget rezim zalim swasembada angin surga semangat sejahtera tani vietnam thailand,1
1654,suasana stq tingkat kabupaten ntt masjid mimbar dana swasembada umat islam bawa nama perintah daerah musabaqah tilawatil quran tingkat propinsi ntt sedih 2019 ganti presiden,1
1657,pikir keluarga korban bom saudari saudari otak dengkul kesal ya,1
1664,sepe i konter tindak brutal anjing anjing front bela islam lawan masyarakat kuncup sepe i bu,1
1666,waris presiden periode 10 hasil album lagu kader kader korupsi jemaah lagak sera,1
1669,usir cina negara republik indonesia,1
1690,indonesia lenyap 2030 puja tolol ya tolol bencong anak nya bencong,1
1704,rakyat,1
1710,orang cina bebas sih mukidi ahli cebong 1 tukang tipu cebong goblok ketulungan plonga plongo akibat optimisme 2019 ganti presiden plonga plongo dunning kruger effect,1
1715,eh anjing awas sih biru biru bawa orang back stage gue kepret pakai ahgabong bodoh,1
1721,antek komunis nya teriak huuuu taufik ismail hafizhahullah uniform resource locator,1
1735,mohon bantu saudara saudara ahmadiyah depok masjid segel perintah daerah pilih presiden coblos jokowi,1
1736,hehe sanggup debat gue tuduh cina tipikal bani kampret,1
1741,burung dara terbang hulu burung nuri sayap biru suara pilih pilih presiden mancing ikan malam ikan makan campur ketan ayo menang ai islam hancur ai setan allahu akbar,1
1745,ya allah sinyal axis geblek banget,1
1750,bawang putih orang kafir cina paham komunis awas bawang putih tar bikin negara indonesia,1
1763,islam nusantara beda cebong nusantara,1
1764,sadar bahasa kampret cebong sekian tebar bahasa sara benci kafir cina partai komunis indonesia munafik,1
1765,korup om partai demokrasi indonesia juang nyata skill pendam nurl,1
1775,ogah ajak pilih jokowi idiot,1
1786,ahok jamban bela aparat kristen a cina kafir berani menghi uniform resource locator,1
1791,tionghoa kayak putus sekolah dugem,1
1797,jujur nabi muhammad catut nama tuhan legal jahat lukman,1
1798,gue trauma beli pulsa sedot mulu bangsat tri indosat kayak,1
1804,tuntut golkar pecat setya novanto dewan wakil rakyat bela mundur pimpin malu,1
1813,cebong istilah hasil 0,1
1817,speaker parlemen hutan rimba speaker ungka ahli hormat kepala monyet i beruk beruk nyanyuk kera kera makan parlemen malaysia umnobn parlemen hutan rimba taman negara,1
1831,ayo buang alquran kitab sampah,1
1835,barakallah dukung 2019 ganti presiden 2019 ganti rezim hancurkanpa aisetan,1
1838,salah cebong,1
1845,jokowi tommy republik indonesia 1 amp republik indonesia 2 cebong bunuh,1
1861,khianat negara republik indonesia komplot putus rugi negara tenggelam komplot moncong babi antek partai komunis indonesia,1
1865,sadar wanita indonesia muhammad bejat khadijah tinggal perempuan budak seks,1
1882,ganyang partai komunis indonesia kuat tenaga,1
1883,1 dewan wakil rakyat legislasi nasional ternak cebong bicara,1
1884,harap partai adil sejahtera bubar partai komunis indonesia partai demokrasi indonesia juang bubar,1
1887,bubar komisi berantas korupsi sop sadap sesuai putus mk,1
1889,kawan lawan selamat bajing,1
1893,dukung bera i nista agama dukung gera 100,1
1901,urus cung sembah nya bani kacung surat pemberitahuan cung,1
1907,pokok balas ai silit hitam,1
1909,dulatips haha heran cebong senang banget agung agung junjung plonga plongo,1
1913,allah subhanahu wa taala ajak gaul lukman suka dengar orang aji utama ayat penggal kafir cocok cocok penis,1
1920,cebong nge i warganet,1
1923,masuk akal bilang bagus akal sehat bilang malas bejat maju sak rumah losssss mundur takut,1
1926,kitab suci nya singgung kitab ayat suci definisi meng aktif imajinasi i don t care kitab suci ku beda a,1
1929,kampanye presiden jokowi mencret ya,1
1931,cocok cocok penis istri izin lukman,1
1936,partai politik cari ayo tenggelam partai demokrasi indonesia juang level kepala perintah rugi negara rugi bangsa 2019 ganti presiden 2019 presiden,1
1940,kafir partai komunis indonesia samar islam jelek jokowi kafir partai komunis indonesia,1
1941,wkwk main klaim program hasil kerja orang ya saudari dukung dukung nya uniform resource locator,1
1942,bicara era habibie susilo bambang yudhoyono hidup tenang percaya isu rasial era khawatir tenaga kerja asing republik rakyat cina masuk masif isu rasial percaya,1
1943,alumni sekte togel kena ganggu jiwa karma,1
1946,pikir tuju islam nusantara langsung nama islam kena kena imbas berengsek antek zionis selip organisasi masyarakat,1
1953,jaring indosat ampas n3 fuck indosat,1
1956,tolong admin nya suruh ajar masak ai gerindra ekonomi dasar sepe i kalah anak usia 11 nge i inflasi ajar sejarah,1
1960,uhuk partai adil sejahtera antek komunis uhuk,1
1964,direktur jenderal agama agama banding posisi tuhan ajar agama,1
1967,cebong orang kafir kafir pimpin kafir teman kafir musuh tad,1
1968,anggota dewan wakil rakyat grup bubar uniform resource locator,1
1971,hi hi hi kitab suci isi ayat fiksi alias khayal belaka bera i kitab suci risi hoaks sebar agama sebar hoaks orang imani kitab suci otak pantat kentut ateis gem,1
1973,salah muka jelek mulut selamat tinggal otak kotor dik e munafik dakwah laku bejat,1
1975,kritik kritik reaktif nama agama pilih diam nyata diam bukti sih bajak agama,1
1979,indonesia beijing usir cina,1
1986,front usak islam demo anies rusak ketua cabul kabur tanggung kecut munafik hadap proses hukum,1
1998,sadis gerombol susilo bambang yudhoyono kuasa sampel bawa kebo rezim kodok bawa babi ciduk bong mendem kolam butek otak pindah dengkul bong,1
2001,partai demokrasi indonesia p mega bangkit komunis,1
2010,hancur partai adil sejahtera hancur partai adil sejahtera hancur partai adil sejahtera hancur partai adil sejahtera hancur partai adil sejahtera hancur partai adil sejahtera hancur partai adil sejahtera hanc,1
2025,wi fi rumah sakit asyik rumah sakit orang orang nya kayak kampret x,1
2036,iya komunitas muslim amp buddha bareng bareng sedia makan rescuers nya panggung politik,1
2038,beda muhammad arab buta huruf nabi percaya sempurna tebar biadab bunuh cocok cocok penis,1
2039,biar allah turun balas orang orang ai dukung jokowi suka zalim orang salah,1
2042,dibully warga asing non pasuruan saudara kocu,1
2044,berani bilang setia negara republik indonesia jilbab budaya arab muhammad salat bahas arab kiblat arab,1
2059,hukum indonesia mati,1
2070,rampok goblok uniform resource locator,1
2071,sekte kampret kecoa jamban 212 geng daster jokowi 2 periode pikir gue tilap duit negara andal umat,1
2072,cebong takut anies sapu habis got indonesia cebong hidup,1
2074,horor teroris islam brussel gambar allah subhanahu wa taala lukman,1
2097,ahok bebas korban sasar lengser jokowi tuju tawar syariat momentum fatwa majelis ulama indonesia demo 411 212 313 radikal,1
2111,jaman edan dukung prabowo cap partai komunis indonesia komunis anti islam antek cina tonton film gera 30 september partai komunis indonesia cap partai komunis indonesia,1
2118,adab tuju adab buang islam buang islam biadab rang,1
2120,cebong dungu atur larang tulis berita,1
2133,tangkap setya novanto sanggup bubar komisi berantas korupsi,1
2137,orang awam tau rekayasa tempo antek nya asing pimpin partai adil sejahtera sadar dukung panitia khusus bongkar tipu tipu nya komisi berantas korupsi,1
2140,tuju kriminalisasi ulama ulama 2019 ganti presiden 2019 presiden,1
2159,wajah anak lihat banget ya penuh dendam benci anak anak makan hasil uang haram kayak banci rumpi maki gue makan tai istri a anak anak o makan bangkai uang haram,1
2160,ayo sih tua bangkai dukung kampret,1
2161,promo tendensius bau islam hukum berat belah sadar merek rezim anti islam,1
2162,muhammad nabi gadungan biar rakyat info,1
2165,tuju bangsa indonesia butuh orang pahlawan nasionalis ajar cinta negara republik indonesia kaum radikal cinta kencing onta biadab singkir kerja rad,1
2172,partai komunis indonesia ya angkat darat gerak massa anti jokowi isu isu anti agama komunis,1
2177,tuju musuh teroris buddha myanmar biksu amp militer nya borobudur waris leluhur uniform resource locator,1
2182,akun komunis,1
2184,doktrin tagar ide partai adil sejahtera didik sontoloyo tolol kalah waras,1
2185,partai komunis indonesia partai demokrasi indonesia p bubar partai demokrasi indonesia p,1
2188,ms kakak ban tanah jaka a 87 persen asai cina,1
2189,ex koruptor calon legislatif ai politik pikir turun citra ai geblek,1
2198,partai bangun tumpang ya 2019 ganti presiden,1
2200,amp langgar atur undang undang pakde diam kayak bangkai amp,1
2204,salah o unya kak kampret kampret tetas kampret,1
2206,tuju dukung anti rejim laku,1
