,Tweet,Abusive
449,takut banci uniform resource locator,1
451,bolot,1
452,native speaker ya mother language nya english komen jaga bangsat,1
453,nyata bangkai,1
454,salah tulis salah bu maksud nya cebong muda kampung,1
457,stw singaraja suka kontol uniform resource locator,1
458,kafir haram pimpin monyet,1
461,kiai staquf suku ras biar mudah paham nalar bahlul arab sembah sodor arab bani saud pro israel eh pura pura,1
468,gue diving mampus junedi,1
472,akun siti fatimah amp komen laman ringkas parah amp bejat malu moga sehat sabar amp semangat suara,1
473,bawang putih kafir haram his hiks hiks,1
478,komunis abad partai komunis indonesia kecoak makan kecoak,1
480,mata lu picek ya janji jokowi tagih susilo bambang yudhoyono mata picek blok,1
483,as clara anak pintar dongok kocak cantik idot tau malu urat malu putus butt muka nya imut banget,1
485,presiden buruk sejarah bangsa bangsa cebong,1
488,remuk rengginang cocot ah,1
489,ku padah eh even bodoh bulak curang ompu ya nya still segal sayang eh bodoh sikpande harga,1
492,ayo pilih alin alin bawel banget omong lihat banci jalan omong,1
495,biadab oknum aparat keparat,1
496,haha jancuk,1
501,mata picek mata lihat belah,1
502,maaf twitter pe kali orang bego,1
503,kocak kalabong dungu,1
508,suka kesal orang pas gue confess gue gilir gue jomlo tau bicara silit,1
509,ehhhhh bandot kritik jokowi mencret darah is oke hina fitnah ambil tindak jokowi presiden pimpin negara pimpin agama salah kaprah luuuu,1
511,astagfirullah mata gue noda kutuk nge bokep,1
513,kontol iya hapus,1
515,pergi bangkai,1
519,ustaz partai adil sejahtera yudi widiana tilap duit bahasa agama juz amp liqo felix kwetiau amp alumni 212 diam amp pura pura budek gilir bu,1
524,sih ahok kutil babi,1
527,bangkai kg tidur siang,1
534,cocot,1
541,allah subhanahu wa taala sembah dungu biadab ya,1
545,burik iya burik panuan kutu jamur ha rang ajar,1
546,we jancuk ajar,1
549,najis kirim pesan direct message gue balas bodoh gue doa pentas menang,1
550,cowok bacot sih anjing gue gampar,1
557,tau jokowi panggung jilat jilat prabowo dasar lintah uniform resource locator,1
558,barusan dongok dongok motor klakson be ubi2 lampu merah oi dongok berisik norak pas tengok tau teman chain menang ganti lu darah puteeeh,1
559,prabowo suka kampanye negatif kampung geli,1
563,bencong bacot cewek kayak banci amen kasih duit bacot mending cakap jelek kayak suram mentioned gue langsung kutip twit,1
570,hebat ahok maaf bini salam 7 surat pemberitahuan ono kabur malu ulama laku bejat,1
571,dungu islam alquran ajar amoral ansor agama islam posisi moral,1
573,oke sip otak bolot gue bingung,1
575,perek sih doll ya,1
578,tolol aji agama islam sp i orang aji orang,1
582,cebong kasih fakta bilang dusta cebong kasih dusta bilang realita cebonger si bikin gemas,1
583,cina kafir bangsat dasar komunis,1
584,rakyat kaum bani cebong,1
585,gue menang anjir cupu fik,1
586,kangen edan,1
587,oh mami kontol jari pusat 3 ngentot mami mami capai,1
589,orang orang maha nan suci sih hina presiden lepas umur keluh tahan cina tahan keluh perintah orde su,1
593,7 lihat wkwk gue tot setan,1
594,eh wa awan selandia kampret berita kampret sebar kasih konferensi pers laku,1
597,retweet sensasi ngentot cewek cantik hijab 1 blowjob kontol hijab ngentot orang hijab sepong kontol,1
598,bro ciri ciri cebong adu domba sok lugu nama cebong buzzer receh,1
604,dah shopee kampang,1
611,cebong senang lihat jaya anis sirik parah junjung puji habis habis laku buruk,1
612,busuk mawati agama islam takut gejala gila nih nenek,1
616,bera i cacat,1
618,luhut bajing,1
619,me every night naaaaa anjing gue malu bangsat hilang aaaaaaaaa sih gue jijik banget aaaaaaaaa sih gue danta aaaaaaaaaaa hilang aaaaaaaaaaaaaaa,1
620,kalong nya puji butut nya butut goblok goblok,1
621,sabar gue adek adek kunyuk bau kayak sempak kuda,1
622,tuhan iblis iblis tuhan agama onta,1
625,ngentot,1
627,tertawa baris cebong sakit hati pakai isu saracen serang anies sandi gagal lantik,1
628,prabowo si mulut busuk rizieq anies fadli zon fahri kumpul sampah negara laku kayak sampah,1
632,buzzer idiot,1
635,manusia otak dungu teriak teriak bubar partai komunis indonesia buku baca bodoh otak kosong mulut iya iya,1
638,cebong jago bikin sebar hoaks,1
645,woi bolot,1
646,bicara remeh temeh surat pemberitahuan kalajengking beliau tau oposisi surat pemberitahuan nyinyir stres strok dosen laku bacot gede hasil karya anak asuh mayor dungu,1
648,pasar temu tukang jual pisang maki abang gara gara dukung lgbt aduh,1
650,ajak muslim cari muhammad enak enak cocok cocok penis bangsa susah,1
651,eh dungu mention mention gue puter alun gue forward berita analisa kelompok manusia homo cerdas wkwk wkwk wkwk,1
652,hehe tipikal bani bodoh bantah danga dungu,1
653,improvisasi lagu al qur an tafsir masak susah pikir murottal tingkat tilawatil qur an tingkat raut muka tafsir kentut tafsir ngentot tafsir kawin tafsir aji,1
656,thread tenaga kerja indonesia malaysia jam kerja enam belas jam kilang jahanam,1
672,gilir ambruk plonga plongo kayak ayam kena tetelo putin prabowo indonesia 2019 ganti presiden,1
676,percaya akun wa 081381413774 nya percaya video camera sex bukti video call detik pas suruh transfer alas nya ni muka nya kayak monyet uniform resource locator,1
677,bicara sains tonton youtube laku eksperimen tonton youtube modifikasi aduh geblek,1
684,homo sial bajing goblok gian amput anjing tepi jalan moga terima balas nya,1
686,pacar bowie cece sih banci salon banci tampil uniform resource locator,1
687,direct message sis zon bilang kampang kesal bangsat,1
688,alah kontol,1
689,kocok memek sayang,1
690,babang kontol tebal jembut rimbun coli bikin iler,1
697,cebong badut nya cina kipas uang receh galak main x,1
699,heran budaya indonesia orang sepe i a eria fahri fadli jual teater narasumber berita kamera cari teater sengaja insentif monyet,1
700,cepat ikan ekor changbin hyung dibully titit darah habis,1
705,orang tau islam belaga bunyi pidato jokowi sesuai ayat qur an allah ubah nasib kaum kecuali ubah ganti presiden rakyat ganti tuhan ganti rakyat,1
706,asa kemarin kemarin pakai axis aman aman deh rumah 2 minggu kacrut kali sih jaring,1
707,enak bego tuduh tuduh gue laku,1
708,otak taruh taruh congor,1
709,sih dakwa nista agama alias sih ahok babi jamban morfin uang rakyat jaka a,1
712,alquran kitab sampah bahaya kacau,1
713,gila jual pc jucan 100 gue pikir wkwk edan,1
714,sadar lepas sepatu kaos kaki bau banget woiii ya ampun kayak ambu silit,1
715,najis sok banget jutek iyuuuh gue yanyk,1
718,bubar dewan wakil rakyat komisi berantas korupsi bodoh nya,1
719,berondong kontol cakap crot uniform resource locator,1
722,atur presiden jokowi atur presiden susilo bambang yudhoyono buka mata lihat bacot bodoh bodoh,1
727,diam buaya,1
730,anggota dewan wakil rakyat pamer dungu biadab islam alquran merintahkan penggal kafir laksana bilang ham,1
732,bani kocak nih dukung siwanbango bego,1
734,haha silvy oh silvy cacing ah wkwk debat final pilih kepala daerah jakarta,1
737,bukti radikal an hati front bela islam bukti orasi orasi hati front bela islam fitnah caci maki hadap perintah polisi republik indonesia ulama kiai kiai dasar otak bebek pura pura buta tuli isi otak junj,1
743,monyet mati uniform resource locator,1
747,edukasi manusia manusia udik sepe i,1
749,tolol hubung rumah tangga urus kerja cakap menteri pecat gubernur jaka a karuan sebentar hancur jaka a,1
755,tertawa gue tai gampar,1
757,cocot cocot cocot 2019 bubar gerindra,1
758,ayo ngewe,1
760,sok bijak mata lihat bobrok hukum rakyat nilai bego lihat 2019 ganti presiden,1
762,hooo lihat bego haha,1
763,wkwk trigger bani onta,1
764,berengsek ya mantan gue one thing bout her gue suka mulut filter sok gue jujur,1
766,hehe kampang fandom,1
770,ios anjing,1
772,jelek udik,1
775,iklan ahok jahat rezim jokowi kampret setan iblis dajjal bangkit kubur gembira pesta pora belenggu,1
780,kayak tai,1
784,sih joko populer pro nas jakarta sih ahok mw kalah proyek proyek jakarta 1 bangun selesai bangun ruas ruas utama cebong goblok salah ani,1
786,anak anjing kampang,1
787,bani kampret bani kecebong pilih bani adam manusia,1
788,gue kampret lihat bro siang sih lollll,1
789,hai kunyuk paham ya prabowo subianto calon presiden salah presiden play station mem,1
791,rezim sales rezim tipu citra palsu,1
792,jijik gue cowok cowok pakai baju merah muda gue tonton video bokep ya gue cewek kaki mungil pakai kaos kaki paha warna merah muda pakai baju merah muda paha pas buka isi titit asuuuuu,1
794,jancuk,1
795,nih sih nyinyir hijrah tutup koreng,1
807,cari yeoja chara seksi lonte suka spam pic ngentot rep like ya draxe,1
808,kicau lihat tolol goblok tolol pilih,1
813,bong dungu video 31 detik langsung ambil simpul heran dungu kolam,1
815,haha order demo nasi bungkus gizi idiot,1
816,generasi tinja bahagia pimpin nya koar koar anti asing jaman pilih kepala daerah selesai pilih kepala daerah bela tinja nya asing enak,1
820,ava jelek mentwit sa ramai ya set kontol kepala mata,1
821,haha babi migrain plak twit caring babi iya hg reply twit lepas brim nih good timing,1
828,sehat cacat,1
838,bunuh musuh bunuh minion bunuh le bunuh monster hutan assist hancur turet ambil ml atm wkwk kampret xd,1
839,ahok si mulut jamban tokoh nilai bahasa indonesia norma etika 0 tai kucing,1
841,jir dahak wkwk tolol,1
843,ya goblok mas jaka sembung bawa sepeda sekolah bawa golok gila nih orang tua nya,1
847,ahok tai fitnah tukang caci maki perempuannn anjing ahok tumbang debat final pilih kepala daerah jakarta,1
850,ridwan kamil hebat top kayak ahok tukang nista agama koruptor,1
851,titah ku sih gunawan asri kunyuk nu kena kehed,1
852,muslim allah subhanahu wa taala muhammad bejat nabi,1
856,sih anjing lebay geblek,1
859,heran setan iblis kabur takut dengar azan makhluk allah anteng dengar azan pura pura budek kuping kalah setan iblis,1
863,ekonomi pegang gerindra hancur negara masak saran cetak uang bayar hutang hutang utang negara bilang biaya produksi cetak uang murah ekonomi comberan kecoa,1
864,98 dolar 12 000 koar koar rezim lengser tembus 15 000 jilat kuasa kasihan rakyat korban propaganda politikus busuk,1
865,pagu ajak gelut onta,1
866,ngewe,1
872,pecun kelas teri nih uniform resource locator,1
876,jongos cina merdeka indonesia cina kasih,1
879,oh berengsek,1
880,hapus teroris islam efektif alquran kitab teroris,1
882,ya allah daniel beli micin bego lurah,1
886,ya anjir songgoriti motor cewek cowok langsung tawar vila,1
888,iman allah subhanahu wa taala dungu biadab dungu biadab bangsa,1
891,udik darah daging,1
898,gue malas aduh iya admin bangsat gue kenal jirapuncel xogentot orang humoris goblok otak aduh homo nih orang,1
899,jilat vagina sih cewek jilat vagina gigit kelentit nya jilat vagina nih,1
900,sinden banci kocak princess aprilia amp admin onggo inggi uniform resource locator,1
902,mobile legend babi anjing xnk kasih rank kimakkk tim noob babi bocah setan,1
903,haha cebong kafir alay goblok munafik jijik banget ih,1
904,owwwwh bokong supirnya ya rekan duduk besi tau haha,1
905,iya jual sih koh mata ih picek ta liak tas jlentrek sak tai dayak dik toko tas kulit lumpia sek kosong tas kulit kadal koh cocok lidah,1
910,bandel kakek bokep bokep indo ngentot bokep asia crot bokep hot horny sange kontol boobs blowjob milf blonde cum film malam tonton bokep bokep online nurl,1
914,masuk google web blogger forum situs dewasa kasih bonus jablay abg lonte bispak bugil naked toge puting jilboobs binal bisyar ayam kampus tante girang ngewe ngentot porno naked banget pascol mania cocktribute c,1
916,otak silit,1
919,ngapain komen tolol,1
920,sarap peduli bgstttttttt,1
921,mental mobil kendara taktis kawal polisi sayang banget bis lempar molotov iya kayak jalan gatot subroto mental bikin nazar nikah monyet mental rusak stadion gelora karno aset negara proyek menteri wkwk,1
922,goblok nonton acara nya malam beliau islam fiksi bukti video nya islam kafir islam banget fitnah muslim kafir gue heran,1
923,agama sempurna umat pintar goblok berani bicara aduh,1
925,,1
926,fix sinting,1
928,mamat masuk van celah kereta lai rusak setan dasarrrr,1
932,1 bangsat n2 cebong n3 kecoak n4 bajing n5 tai ayam n6 anjing n7 monyet n8 cecurut n9 boraks n10 kucirap,1
933,manis butut goblok soler out herjos out,1
934,ngentot,1
935,hina malu fasilitas perintah bikin bani daster tau malu harga makan gaji negara hina haram,1
939,anak pepo tampang doang bawa bangsa foto model cebong urus biar rewel x9,1
943,tabayun ngomyang cocot busuk wkwk pelihara main isu sara bangga,1
946,perek suka gagah,1
948,bilang kafir susah haha sel sel otak sambung ya susah kafir cebong orang bicara bicara maki agama islam pakai rujuk internasional haha,1
951,monyet komunis tolol,1
953,haha cape gua video 13 detik bicara kampret,1
959,teman lihat screenshoot an cerita sih istri sih istri curhat habis habis katai sih suami bajing nge mention akun sih suami,1
961,freepo kontrak habis istimewa aneh dolar tembus 15 000 diam jilat kuasa dungu ya tum lihat bobrok kerja rezim,1
962,aduh tolol ya dukung rezim ya kayak,1
963,diktator jokowi jongos organisasi jagal manusia nu atur siasat kampanye,1
965,sehat om sehat minum kencing onta,1
967,eh anjing bacot gue tantang duel bangsat,1
968,rindu rindu berat biarin sih kunyuk dil tanggung,1
969,gosip orang iri sebar orang bodoh terima orang idiot,1
970,dasar kunyuk nih cari duit modal tipu bangsat abu,1
971,baca berita nya nih aki ganggu jiwa nya 2019 amin kalah malaikat bilang kafir pro asing kasihan malaikat nge i urus calon presiden bawa aki gila,1
972,ngoaaahahaaa saking kejang kejang nya sih bani kuda prabowo bin onta baca tulis gue selingkuh kuda prabowo ngoaaahahaaaa xa,1
975,mampus gue mampus yugi mampus onta arab,1
978,paksa orang penjara bajing kedok agama,1
981,dongok bong kampret kalabong marah marah suruh laden tetas bong bong,1
982,dukung prabowo surat pemberitahuan arb sda orang orang bejat tabiat kasar masuk orang,1
986,bacot album album gue beli pakai duit gue rugi emak akibat dicerahami beli album,1
987,bodoh in laku suka nge distract pikir pikir,1
989,bicara geblek,1
994,kampret antek asing,1
995,cepat islam nyata sesat sesat bank syariat,1
998,kampret,1
1001,lt strong dasar cebong dungu 7 turun lt strong,1
1006,serah nasib bangsa orang orang abdi meng kacung cukong cukong asing penghianat negara republik indonesia modal dana kampanye 2019 ganti presiden,1
1009,aimu partai demokrasi indonesia juang bajing,1
1010,kaum 1 2 kafir otak junk food nya kelit catut islam giat giat rusak aqidah islam,1
1013,alaaaahhhhh omong cebong arah pakai tol kelok 1000 sok sok islam bong,1
1014,dungu biadab bangsa ajak sembah sembah allah subhanahu wa taala dungu biadab,1
1016,tau gue war jubah jubah simak ya kyungsoo taehyung bias gue gue war kampang,1
1017,binatang kutuk,1
1018,bilang anti asing asing asong kafir kafir kampretttt nyata manusia munafik suka rupa asing impo bawang puti,1
1022,dasar tolol,1
1023,hormat lacur pakde iblis betina kerja sebar hoaks nista sih hidup,1
1024,ganti presiden celeng langsung kelojot salah rocky gerung bilang celeng dungu stabil,1
1025,memek sodok,1
1033,bangkai,1
1035,gilir sodor fakta cebong diam cebong sengsara dukung dil otak kontaminasi gerak cepat pikir waras,1
1036,siang siang enak cium pecun uniform resource locator,1
1039,amp hukum sih bangkai turun babi keparat derita alami rakyat indonesia nusantara bahasa adat istiadat budaya ras agama suku pimpin a,1
1040,cebong girang kibul najis bong mata picek,1
1044,jodoh tang tuhan mantan tang setan,1
1048,sanggup tangkap presiden tugas ai jujungan mangkrak ya jinjing,1
1050,tau junjung cebong licik ya hamba tukang tipu,1
1054,fubu an ajar calon nernya langsung hajar pakai analisa swot ajar kuat lemah oppo unity kayak amp threat bahaya logika gara gara disyerpik ketemu langsung sikat psiko mampus l,1
1058,kecoak bicara juntrung ya gue tinggal mutu bicara orang dungu kayak,1
1062,bodoh bangsa gue uji semester uniform resource locator,1
1063,hamil haha gembrot lucu banget,1
1064,profesor bilang,1
1066,solo rank comeback sakit tau tank takut war hilda cacat emosi bangkai,1
1067,jijik manusia homo,1
1070,udik pecah balon wkwk,1
1071,dasar celeng,1
1076,maling teriak maling kafir teriak kafir orang orang kayak lahir campur tai,1
1077,sih anak kampang muncul twitter,1
1078,sih kakak cocot sitohang,1
1079,laki laki berengsek laki laki berengsek dunia,1
1081,kayak kontol,1
1084,nabi adam fiksi nabi ibrahim fiksi nabi musa fiksi nabi nuh fiksi nabi fiksi ulama lihat dungu nuzul alquran logika,1
1085,teriak allah hu barbar rusak telinga fahri diskusi buang islam dewan wakil rakyat,1
1086,kkkkkkkkkkkkkk cebong iq ratus sp i junjung dungu plonga plongo 2019 ganti presiden,1
1089,sesal bangsat v sakit tunggu sehat ya lihat laku bangsat,1
1090,kafir samar makan babi mulut junjung tolak,1
1091,eh serius muntah tai hyung,1
1092,sinting rusak,1
1096,iklan promo cashback aplikasinyya kode hasil cashback masuk masuk bilang salah sistem promo bodoh oi salah sistem urus cashback 20 janji uniform resource locator,1
1097,salah ajar lihat kacamata acara televisi salah laku positif banget dasar tolol kembang,1
1101,anti bineka cebong tuduh umat islam,1
1103,dalih 4 pilar majelis musyawarat rakyat dungu biadab bangsa dakwah islam seru sembah nyembah allah subhanahu wa taala benci kafir pecah bangsa,1
